prk_place_nm,address,monthly_pass_fee,prk_style
동양주차장,부산광역시 강서구 녹산동 92-1,0,민영
동원주차장,부산광역시 강서구 대저2동 2081-5,0,민영
동원주차장,부산광역시 강서구 대저2동 2081-5,0,민영
제이엠알주차장,부산광역시 강서구 대저2동 2093,0,민영
명성주차장,부산광역시 강서구 대저2동 2095-2|2094-9,0,민영
유카주차장,부산광역시 강서구 대저2동 2157,0,민영
유니티주차장,부산광역시 강서구 대저2동 2160|2160-2|2160-3,0,민영
김해주차장,부산광역시 강서구 대저2동 2160-2,0,민영
공항주차장,부산광역시 강서구 대저2동 1843-23,0,민영
강서제이주차장,부산광역시 강서구 대저2동 1843-6,0,민영
보광주차장,부산광역시 강서구 대저2동 1845-1,0,민영
삼천리주차장,부산광역시 강서구 대저2동 1846-3,0,민영
광남주차장,부산광역시 강서구 대저2동 1858-1,0,민영
녹산산단공영주차장,부산광역시 강서구 송정동 1759,0,공영
신흥주차장,부산광역시 강서구 대저2동 1884-2,0,민영
우현주차장,부산광역시 강서구 대저2동 2021-6,0,민영
가가주차장,부산광역시 강서구 대저2동 2027-2,0,민영
발렛주차장,부산광역시 강서구 대저2동 2032-7,0,민영
국제주차장,부산광역시 강서구 대저2동 2037,0,민영
부산주차장,부산광역시 강서구 대저2동 2058-3,0,민영
차차주차장,부산광역시 강서구 대저2동 2058-5,0,민영
VIP주차장(B동),부산광역시 강서구 대저2동 2062-1,0,민영
